 - - [04/Feb/2026:08:29:54 +0300] "GET /health HTTP/1.0" 200 2 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:16:15:30 +0300] "GET /admin/ HTTP/1.0" 500 265 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:16:22:10 +0300] "GET /admin/ HTTP/1.1" 500 265 "-" "curl/7.81.0"
127.0.0.1 - - [06/Feb/2026:16:26:18 +0300] "GET /admin/ HTTP/1.0" 500 265 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:16:26:20 +0300] "GET /admin/ HTTP/1.0" 500 265 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:06:03 +0300] "GET /admin/ HTTP/1.1" 200 10154 "-" "curl/7.81.0"
127.0.0.1 - - [06/Feb/2026:17:06:13 +0300] "GET /admin/ HTTP/1.0" 200 10154 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:06:13 +0300] "GET /admin/static/bootstrap/bootstrap3/swatch/default/bootstrap.min.css?v=3.3.5 HTTP/1.0" 200 0 "http://backups.cubinez.ru/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:06:13 +0300] "GET /admin/static/bootstrap/bootstrap3/css/bootstrap-theme.min.css?v=3.3.5 HTTP/1.0" 200 0 "http://backups.cubinez.ru/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:06:13 +0300] "GET /admin/static/admin/css/bootstrap3/admin.css?v=1.1.1 HTTP/1.0" 200 0 "http://backups.cubinez.ru/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:06:13 +0300] "GET /admin/static/admin/css/bootstrap3/submenu.css HTTP/1.0" 200 0 "http://backups.cubinez.ru/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:17:06:13 +0300] "GET /admin/static/bootstrap/bootstrap3/js/bootstrap.min.js?v=3.3.5 HTTP/1.0" 200 0 "http://backups.cubinez.ru/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
